atc,2002,Film director ___ Lee,ang,NNP
atc,2002,Wear away,erode,VB
atc,2001,"Indy, for one",race,NN
atc,2004,Roman statesman,cato,NNP
atc,2001,Tempest spot?,teacup,NN
atc,2002,Royal jelly producer,bee,NN
atc,2002,Lady's address,maam,NN
atc,2002,Downed,ate,VBD
atc,2002,Sewing tool in LAW?,awl,NN
atc,2001,Board-room VIP,ceo,NN
atc,2004,Lyric poem,epode,NN
atc,2003,Court room fig.,atty,NN
atc,2003,Lunch order,blt,NN
atc,2002,Bits of schmaltz,sobstories,NNS
atc,2004,Cinch,pieceofcake,NN
atc,2004,"""Violets __ blue...""",are,VBZ
atc,2002,Marley's music,reggae,NN
atc,2003,One of the noble gases,xenon,NN
atc,2001,Deviate,vary,VB
atc,2002,Shutterbug's request,saycheese,VB
atc,2003,African republic,gambia,NNP
atc,2004,Canadian ___,geese,NNS
atc,2001,Jerry's straight man,dean,NN
atc,2004,Did some gardening,hoed,VBD
atc,2003,Hold off,defer,VB
atc,2002,Having a single element,unary,JJ
atc,2002,Richie Havens hit,herecomesthesun,NNP
atc,2002,KGB's cold-war counterpart,cia,NN
atc,2002,Avant-garde,arty,JJ
atc,2004,Periods of self-denial,fasts,NNS
atc,2004,"Flabby, and then some",obese,JJ
atc,2002,Sunburn soother,aloe,NN
atc,2004,Cookie-selling gr.,gsa,NN
atc,2001,Sale phrase,asis,NN
atc,2003,Sliced into sheets,sawn,VBD
atc,2002,Put a match to,lit,VBD
atc,2002,Kind of toast,melba,NN
atc,2001,Boo-boos,errors,NNS
atc,2001,Purple shade,amaranth,NN
atc,2003,Propels a watercraft manually,rows,VBZ
atc,2004,Hit by 39A,onemomentintime,NN
atc,2001,John of 67A,agar,NN
atc,2003,Skater Lipinsky,tara,NNP
atc,2001,Take a carbon 14 measurement,date,VB
atc,2002,An indefinitely long period of time,aeon,NN
atc,2002,"Dark, rich soil",loam,NN
atc,2003,Disgruntled,riled,VBN
atc,2002,Baby blues,eyes,NNS
atc,2003,Legitimate deduction,wife,NN
atc,2004,"""My __ and Only""",one,CD
atc,2001,Some radios,fms,NNS
atc,2001,Parts maker,oem,NN
atc,2002,Yemeni port,aden,NN
atc,2003,Automobiles,cars,NNS
atc,2003,Pre-___ (doc.track),med,NN
atc,2002,Atmosphere,aura,NN
atc,2002,Show dissension,squabble,VB
atc,2001,Dampens,wets,VBZ
atc,2002,Was in the hole,owed,VBD
atc,2004,Back of the neck,nape,NN
atc,2004,Isle of Man surrounder,irishsea,NNP
atc,2002,Doctoral dissertations,theses,NNS
atc,2003,Unoriginal,trite,JJ
atc,2004,Flattens,floors,VBZ
atc,2001,"""Yippee!""",wahoo,UH
atc,2002,Female ruff,reeve,NN
atc,2002,Singer Damone,vic,NNP
atc,2004,Galloway gal,lass,NNP
atc,2002,Prescribed amounts,doses,NNS
atc,2002,Figure out,see,VB
atc,2003,Strait-laced,prim,JJ
atc,2001,Indication,key,NN
atc,2001,City on the Danube,ulm,NNP
atc,2002,Fed Ness,eliot,NNP
atc,2001,Fast move,dart,VB
atc,2002,UFO pilots,ets,NNS
atc,2001,Wipe out,erase,VB
atc,2001,Exercise tape's promise,bunsofsteel,NN
atc,2001,"""Rock and Roll, Hoochie Koo"" singer",rickderringer,NNP
atc,2001,Italian noble family,este,NNP
atc,2003,"Stefano della ___, Richelieu's engraver",bella,NNP
atc,2003,Member of the sporting group,irishsetter,NNP
atc,2002,A snake charmed her,eve,NNP
atc,2002,Wine-taster's concern,year,NN
atc,2004,Taj Mahal site,agra,NNP
atc,2002,Quarterback John,elway,NNP
atc,2001,Accumulate,amass,VB
atc,2001,"""Victory at Sea""",longestsymphony,NNP
atc,2002,More than,plus,RB
atc,2004,Lutz alternative,axel,NNP
atc,2003,"Dr. Seuss's ""If ___ the Zoo""",iran,NNP
atc,2003,Paddle in the pool,swim,VB
atc,2002,Done,over,IN
atc,2004,Doyle's middle name (5),conan,NNP
atc,2004,Garfield,cat,NN
atc,2001,Uncomfortably damp,dank,JJ
atc,2002,Cook thriller,coma,NN
atc,2001,Muttonchops,sideburns,NNS
atc,2002,Brew-pub sights,vats,NNS
atc,2001,Irregular edge,erose,JJ
atc,2003,Capital of Ghana,accra,NNP
atc,2001,Nav. officer,ens,NN
atc,2003,Desk accessory,inkstand,NN
atc,2002,Sweater material,mohair,NN
atc,2002,"David of ""Falcon Crest""",selby,NNP
atc,2004,Agt.'s take,pct,NN
atc,2004,More dreadful,direr,JJR
atc,2002,Auto agreements,leases,NNS
atc,2003,A single one,unit,NN
atc,2001,French writer Victor ___,hugo,NNP
atc,2001,Claim,allege,VB
atc,2002,Social service?,tea,NN
atc,2003,Measure against,oppose,VB
atc,2001,"Water, in 20A",agua,NN
atc,2002,Most Twilight Zone-like,eeriest,JJS
atc,2003,"""The Divine Comedy"" poet",dante,NNP
atc,2003,Skeptic's grain,salt,NN
atc,2001,Archer's supplier,bowyer,NN
atc,2001,Partner of faith and charity,hope,NN
atc,2002,Squirrel away,stash,VB
atc,2003,She was often in ancient distress,damosel,NN
atc,2003,Decorating anew,redoing,VBG
atc,2002,Joe Six-pack's excess,beerbelly,NN
atc,2001,"""The Lion King"" lion",scar,NN
atc,2002,They take you to the top,tbars,NNS
atc,2002,With no value,zero,CD
atc,2001,Hair's partner,hide,NNP
atc,2004,Nota __,bene,NNP
atc,2002,Black Friday event,sale,NN
atc,2002,Internet insult,flame,VB
atc,2003,Robert and Elizabeth,doles,NNP
atc,2002,18-wheeler,semi,NN
atc,2001,___ cog (err),slipa,VB
atc,2004,Soprano Gluck,alma,NNP
atc,2002,Brownish,umber,JJ
atc,2002,Cardinal monogram,stl,NN
atc,2001,"Almost, to Shakespeare",anear,NN
atc,2004,Bay of Naples island,capri,NNP
atc,2003,Place of many flicks,ashtray,NN
atc,2003,Neighbor of Syr.,isr,NNP
atc,2001,Fathered,begotten,VBN
atc,2003,Comic strip possum,pogo,NNP
atc,2001,Trendy,chic,JJ
atc,2004,Flood,inundate,VB
atc,2001,McEntire of country,reba,NNP
atc,2003,River to the English Channel,orne,NNP
atc,2001,Sweater eater,moth,NN
atc,2004,Gobble,eat,VB
atc,2004,Algonquian language,arapaho,NNP
atc,2002,Bowling,tenpins,NNS
atc,2003,"""Turandot"" slave",liu,NNP
atc,2001,Including shipping: abbr.,ppd,NN
atc,2001,Who's there?,firstbass,NN
atc,2001,O.K. Corral guy,earp,NNP
atc,2001,Singer McEntire,reba,NNP
atc,2002,"Presque ___, ME",isle,NN
atc,2003,Tithing amount,tenth,JJ
atc,2002,Do penance,atone,VB
atc,2002,"""It's __-win situation!""",ano,JJ
atc,2002,Insurrectionist,rebel,NN
atc,2003,Enlighten,edify,VB
atc,2002,"""Chances __""",are,VBP
atc,2001,Poet Teasdale,sara,NNP
atc,2003,Kayaker's safe haven,eddy,NN
atc,2002,Spy Aldrich of '94 headlines,ames,NNP
